LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,Fireplaces,GarageCars,GarageArea,OpenPorchSF,SalePrice
8450,CollgCr,7,5,2003,2003,Gd,No,706,856,856,854,1710,2,Gd,0,2,548,61,208500
9600,Veenker,6,8,1976,1976,Gd,Gd,978,1262,1262,0,1262,2,TA,1,2,460,0,181500
11250,CollgCr,7,5,2001,2002,Gd,Mn,486,920,920,866,1786,2,Gd,1,2,608,42,223500
9550,Crawfor,7,5,1915,1970,TA,No,216,756,961,756,1717,1,Gd,1,3,642,35,140000
14260,NoRidge,8,5,2000,2000,Gd,Av,655,1145,1145,1053,2198,2,Gd,1,3,836,84,250000
14115,Mitchel,5,5,1993,1995,Gd,No,732,796,796,566,1362,1,TA,0,2,480,30,143000
10084,Somerst,8,5,2004,2005,Ex,Av,1369,1686,1694,0,1694,2,Gd,1,2,636,57,307000
10382,NWAmes,7,6,1973,1973,Gd,Mn,859,1107,1107,983,2090,2,TA,2,2,484,204,200000
6120,OldTown,7,5,1931,1950,TA,No,0,952,1022,752,1774,2,TA,2,2,468,0,129900
7420,BrkSide,5,6,1939,1950,TA,No,851,991,1077,0,1077,1,TA,2,1,205,4,118000
11200,Sawyer,5,5,1965,1965,TA,No,906,1040,1040,0,1040,1,TA,0,1,384,0,129500
11924,NridgHt,9,5,2005,2006,Ex,No,998,1175,1182,1142,2324,3,Ex,2,3,736,21,345000
12968,Sawyer,5,6,1962,1962,TA,No,737,912,912,0,912,1,TA,0,1,352,0,144000
10652,CollgCr,7,5,2006,2007,Gd,Av,0,1494,1494,0,1494,2,Gd,1,3,840,33,279500
10920,NAmes,6,5,1960,1960,TA,No,733,1253,1253,0,1253,1,TA,1,1,352,213,157000
6120,BrkSide,7,8,1929,2001,TA,No,0,832,854,0,854,1,TA,0,2,576,112,132000
11241,NAmes,6,7,1970,1970,TA,No,578,1004,1004,0,1004,1,TA,1,2,480,0,149000
10791,Sawyer,4,5,1967,1967,NA,NA,0,0,1296,0,1296,2,TA,0,2,516,0,90000
13695,SawyerW,5,5,2004,2004,TA,No,646,1114,1114,0,1114,1,Gd,0,2,576,102,159000
7560,NAmes,5,6,1958,1965,TA,No,504,1029,1339,0,1339,1,TA,0,1,294,0,139000
14215,NridgHt,8,5,2005,2006,Ex,Av,0,1158,1158,1218,2376,3,Gd,1,3,853,154,325300
7449,IDOTRR,7,7,1930,1950,TA,No,0,637,1108,0,1108,1,Gd,1,1,280,0,139400
9742,CollgCr,8,5,2002,2002,Gd,No,0,1777,1795,0,1795,2,Gd,1,2,534,159,230000
4224,MeadowV,5,7,1976,1976,Gd,No,840,1040,1060,0,1060,1,TA,1,2,572,110,129900
8246,Sawyer,5,8,1968,2001,TA,Mn,188,1060,1060,0,1060,1,Gd,1,1,270,90,154000
14230,NridgHt,8,5,2007,2007,Gd,No,0,1566,1600,0,1600,2,Gd,1,3,890,56,256300
7200,NAmes,5,7,1951,2000,TA,Mn,234,900,900,0,900,1,Gd,0,2,576,32,134800
11478,NridgHt,8,5,2007,2008,Ex,No,1218,1704,1704,0,1704,2,Gd,1,3,772,50,306000
16321,NAmes,5,6,1957,1997,TA,Gd,1277,1484,1600,0,1600,1,TA,2,1,319,258,207500
6324,BrkSide,4,6,1927,1950,TA,No,0,520,520,0,520,1,Fa,0,1,240,0,68500
8500,IDOTRR,4,4,1920,1950,TA,No,0,649,649,668,1317,1,TA,0,1,250,54,40000
8544,Sawyer,5,6,1966,2006,TA,No,0,1228,1228,0,1228,1,Gd,0,1,271,65,149350
11049,CollgCr,8,5,2007,2007,Ex,Av,0,1234,1234,0,1234,2,Gd,0,2,484,30,179900
10552,NAmes,5,5,1959,1959,TA,No,1018,1398,1700,0,1700,1,Gd,1,2,447,38,165500
7313,NridgHt,9,5,2005,2005,Ex,No,1153,1561,1561,0,1561,2,Ex,1,2,556,47,277500
13418,NridgHt,8,5,2004,2005,Ex,Av,0,1117,1132,1320,2452,3,Gd,1,3,691,32,309000
10859,CollgCr,5,5,1994,1995,Gd,No,0,1097,1097,0,1097,1,TA,0,2,672,64,145000
8532,NAmes,5,6,1954,1990,TA,No,1213,1297,1297,0,1297,1,TA,1,2,498,0,153000
7922,NAmes,5,7,1953,2007,TA,No,731,1057,1057,0,1057,1,Gd,0,1,246,52,109000
6040,Edwards,4,5,1955,1955,NA,NA,0,0,1152,0,1152,2,Fa,0,0,0,0,82000
8658,NAmes,6,5,1965,1965,TA,No,643,1088,1324,0,1324,2,TA,1,2,440,138,160000
16905,Timber,5,6,1959,1959,TA,Gd,967,1350,1328,0,1328,1,TA,2,1,308,104,170000
9180,SawyerW,5,7,1983,1983,Gd,Av,747,840,884,0,884,1,Gd,0,2,504,0,144000
9200,CollgCr,5,6,1975,1980,Gd,Av,280,938,938,0,938,1,TA,0,1,308,0,130250
7945,NAmes,5,6,1959,1959,TA,No,179,1150,1150,0,1150,1,TA,0,1,300,0,141000
7658,NridgHt,9,5,2005,2005,Ex,No,456,1752,1752,0,1752,2,Ex,1,2,576,82,319900
12822,Mitchel,7,5,2003,2003,Ex,No,1351,1434,1518,631,2149,1,Gd,1,2,670,43,239686
11096,Somerst,8,5,2006,2006,Gd,Av,24,1656,1656,0,1656,2,Gd,0,3,826,146,249700
4456,OldTown,4,5,1920,2008,TA,No,0,736,736,716,1452,2,TA,0,0,0,0,113000
7742,Sawyer,5,7,1966,1966,TA,No,763,955,955,0,955,1,TA,0,1,386,0,127000
13869,Gilbert,6,6,1997,1997,Gd,Av,182,794,794,676,1470,2,TA,0,2,388,75,177000
6240,BrkSide,6,6,1934,1950,TA,No,0,816,816,0,1176,1,TA,1,2,528,0,114500
8472,IDOTRR,5,5,1963,1963,Gd,Gd,104,816,816,0,816,1,TA,0,2,516,0,110000
50271,Veenker,9,5,1981,1987,Ex,Gd,1810,1842,1842,0,1842,0,Gd,1,3,894,72,385000
7134,NAmes,5,5,1955,1955,TA,No,384,384,1360,0,1360,1,TA,1,2,572,50,130000
10175,NAmes,6,5,1964,1964,TA,No,490,1425,1425,0,1425,2,TA,1,2,576,0,180500
2645,Somerst,8,5,1999,2000,Gd,No,649,970,983,756,1739,2,Gd,0,2,480,0,172500
11645,CollgCr,7,5,2004,2004,Gd,No,0,860,860,860,1720,2,Gd,0,2,565,70,196500
13682,StoneBr,10,5,2006,2006,Ex,Gd,0,1410,1426,1519,2945,3,Gd,1,3,641,0,438780
7200,CollgCr,5,7,1972,1972,TA,Av,632,780,780,0,780,1,TA,0,1,352,0,124900
13072,SawyerW,6,5,2004,2004,Gd,No,941,1158,1158,0,1158,1,Gd,0,2,576,50,158000
7200,IDOTRR,5,7,1920,1996,TA,No,0,530,581,530,1111,1,Fa,0,1,288,0,101000
6442,NridgHt,8,5,2006,2006,Gd,Mn,24,1370,1370,0,1370,2,Gd,1,2,484,49,202500
10300,OldTown,7,6,1921,1950,TA,No,0,576,902,808,1710,2,TA,0,2,480,11,140000
9375,CollgCr,7,5,1997,1998,Gd,No,739,1057,1057,977,2034,2,Gd,0,2,645,36,219500
9591,NridgHt,8,5,2004,2005,Ex,Av,0,1143,1143,1330,2473,2,Gd,1,3,852,151,317000
19900,NAmes,7,5,1970,1989,Gd,Gd,912,1947,2207,0,2207,2,TA,1,2,576,0,180000
10665,CollgCr,7,5,2003,2003,Gd,Av,1013,1453,1479,0,1479,2,Gd,0,2,558,29,226000
4608,OldTown,4,6,1945,1950,TA,No,0,747,747,0,747,1,TA,0,1,220,0,80000
15593,ClearCr,7,4,1953,1953,TA,No,603,1304,1304,983,2287,2,TA,1,2,667,21,225000
13651,NAmes,7,6,1973,1973,Gd,Gd,1880,2223,2223,0,2223,2,TA,2,2,516,0,244000
7599,Mitchel,4,6,1982,2006,TA,No,565,845,845,0,845,1,TA,0,2,360,0,129500
10141,Gilbert,7,5,1998,1998,Gd,No,0,832,885,833,1718,2,TA,1,2,427,94,185000
10200,NAmes,5,7,1954,2003,TA,No,320,1086,1086,0,1086,1,TA,0,2,490,0,144900
5790,OldTown,3,6,1915,1950,Fa,No,0,840,840,765,1605,2,TA,0,1,379,0,107400
1596,MeadowV,4,5,1973,1973,Gd,Gd,462,462,526,462,988,1,TA,0,1,297,101,91000
8475,NAmes,4,7,1956,1956,TA,No,228,952,952,0,952,1,TA,0,1,283,0,135750
8635,BrkSide,5,5,1948,2001,TA,No,336,672,1072,213,1285,1,TA,0,1,240,0,127000
10778,Sawyer,4,5,1968,1968,TA,No,0,1768,1768,0,1768,2,TA,0,0,0,0,136500
10440,OldTown,5,6,1910,1981,TA,No,0,440,682,548,1230,1,TA,0,2,440,0,110000
13000,NAmes,6,6,1968,1968,Gd,No,448,896,1182,960,2142,2,Gd,1,1,509,72,193500
4500,Mitchel,6,5,1998,1998,Ex,No,1201,1237,1337,0,1337,2,TA,0,2,405,199,153500
10206,Somerst,8,5,2007,2007,Gd,No,33,1563,1563,0,1563,2,Gd,1,3,758,99,245000
8892,NAmes,5,5,1960,1960,TA,No,0,1065,1065,0,1065,1,TA,0,2,461,0,126500
8530,Gilbert,7,5,1995,1996,Gd,No,0,384,804,670,1474,2,TA,1,2,400,72,168500
16059,NoRidge,8,5,1991,1992,Gd,No,0,1288,1301,1116,2417,2,Gd,1,2,462,82,260000
